     32 "MESSAGE":"pam_unix(sudo:session): session opened for user root(uid=0) by admin(uid=1000)"
     32 "MESSAGE":"pam_unix(sudo:session): session closed for user root"
      6 "MESSAGE":"   admin : TTY=tty1 ; PWD=/home/admin ; USER=root ; COMMAND=/usr/bin/filebeat modules enable system"
      4 "MESSAGE":"   admin : TTY=tty1 ; PWD=/home/admin ; USER=root ; COMMAND=/usr/bin/filebeat modules list"
      3 "MESSAGE":"   admin : TTY=tty1 ; PWD=/home/admin ; USER=root ; COMMAND=/usr/bin/filebeat setup"
      2 "MESSAGE":"   admin : TTY=tty1 ; PWD=/home/admin ; USER=root ; COMMAND=/usr/bin/tee /etc/filebeat/modules.d/system.yml"
      2 "MESSAGE":"   admin : TTY=tty1 ; PWD=/home/admin ; USER=root ; COMMAND=/usr/bin/systemctl enable --now rsyslog"
      2 "MESSAGE":"   admin : TTY=tty1 ; PWD=/home/admin ; USER=root ; COMMAND=/usr/bin/sed -n 1,200p /etc/filebeat/modules.d/system.yml"
      2 "MESSAGE":"   admin : TTY=tty1 ; PWD=/home/admin ; USER=root ; COMMAND=/usr/bin/filebeat modules enable system/syslog"
      2 "MESSAGE":"   admin : TTY=tty1 ; PWD=/home/admin ; USER=root ; COMMAND=/usr/bin/filebeat modules enable system/auth"
      2 "MESSAGE":"   admin : TTY=tty1 ; PWD=/home/admin ; USER=root ; COMMAND=/usr/bin/filebeat modules disable *"
      2 "MESSAGE":"   admin : TTY=tty1 ; PWD=/home/admin ; USER=root ; COMMAND=/usr/bin/filebeat -e -E output.elasticsearch.enabled=false -E output.file.enabled=true -E output.file.path=/var/log/filebeat -E output.file.filename=events -E output.file.rotate_every_kb=1024 -E output.file.number_of_files=2"
      2 "MESSAGE":"   admin : TTY=tty1 ; PWD=/home/admin ; USER=root ; COMMAND=/usr/bin/apt update"
      2 "MESSAGE":"   admin : TTY=tty1 ; PWD=/home/admin ; USER=root ; COMMAND=/usr/bin/apt install -y rsyslog"
